study_hours,attendance,previous_marks,assignments_completed,final_marks
2,61,87,5,61
4,68,87,2,72
9,65,77,7,74
1,65,53,4,50
10,61,75,4,82
9,86,54,8,81 
5,60,88,3,69
6,77,49,4,61
2,65,64,2,52
6,98,56,1,69
9,67,64,2,73
5,100,79,6,84
4,64,42,4,49
2,74,95,2,68
5,89,80,6,74
6,82,53,5,70
2,98,80,3,72
4,70,69,7,64
9,74,83,6,78
4,62,91,6,72
5,64,53,10,62
4,91,65,8,68
5,68,55,9,66
5,97,67,10,79
6,74,48,9,67
2,63,95,2,60
3,87,78,2,67
7,98,69,9,82
9,60,83,2,80
9,77,89,6,83
5,87,50,8,61
5,92,88,3,81
2,100,59,9,71
4,69,63,3,61
9,60,78,6,79
1,67,63,5,50
1,75,76,2,53
8,64,88,9,80
3,90,75,3,66
9,98,67,4,85
4,79,65,6,67
9,88,47,4,69
2,81,41,10,58
4,97,54,1,57
1,74,44,1,43
2,92,55,5,64
8,73,74,3,78
10,90,55,8,83
4,66,46,7,55
7,86,69,1,76
2,63,65,6,51
4,72,52,9,63
3,87,51,5,61
4,64,68,9,61
1,94,93,1,64
4,70,66,8,67
4,85,43,3,56
1,84,56,8,57
7,95,82,8,83
4,78,53,1,59
9,63,87,6,77
1,97,70,9,71
3,63,72,2,54
2,98,44,4,57
2,96,55,10,69
1,99,45,7,62
10,96,73,6,88
4,80,55,5,62
3,79,69,6,60
1,89,79,10,66
2,94,53,9,62
3,82,44,4,53
5,70,68,9,68
10,93,40,9,76
2,68,56,2,45
9,69,57,5,75
4,81,53,5,63
8,76,94,1,77
7,77,42,1,58
3,100,56,3,64
9,87,75,1,75
2,69,74,1,56
10,95,49,7,77
1,79,63,1,52
4,75,82,2,67
9,86,79,3,80
3,71,66,1,53
6,86,91,4,80
3,66,64,1,55
4,72,92,8,76
5,74,54,1,62
4,85,61,5,60
5,82,81,9,79
9,81,41,2,64
3,97,56,1,56
10,87,62,6,82
10,92,47,7,82
4,76,42,7,51
9,94,83,4,87
7,64,82,6,79
